# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-13 07:07:14 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05453510 Coralville Lake near Coralville, IA
# -----------------------------------------------------------------------------------
#
# Data provided for site 05453510
#            TS   parameter     statistic     Description
#         42876       00054     32400     Reservoir storage, acre feet (Observation at noon)
#         42877       62614     30600     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at 06:00 AM)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	42877_62614_30600	42877_62614_30600_cd
5s	15s	20d	14n	10s
USGS	05453510	2008-01-01	683.23	A
USGS	05453510	2008-01-02	683.13	A
USGS	05453510	2008-01-03	683.05	A
USGS	05453510	2008-01-04	683.07	A
USGS	05453510	2008-01-05	683.15	A
USGS	05453510	2008-01-06	683.29	A
USGS	05453510	2008-01-07	683.67	A
USGS	05453510	2008-01-08	683.96	A
USGS	05453510	2008-01-09	683.58	A
USGS	05453510	2008-01-10	683.49	A
USGS	05453510	2008-01-11	683.57	A
USGS	05453510	2008-01-12	683.40	A
USGS	05453510	2008-01-13	683.36	A
USGS	05453510	2008-01-14	683.37	A
USGS	05453510	2008-01-15	683.29	A
USGS	05453510	2008-01-16	683.13	A
USGS	05453510	2008-01-17	683.15	A
USGS	05453510	2008-01-18	683.23	A
USGS	05453510	2008-01-19	683.22	A
USGS	05453510	2008-01-20	683.22	A
USGS	05453510	2008-01-21	683.25	A
USGS	05453510	2008-01-22	683.40	A
USGS	05453510	2008-01-23	683.42	A
USGS	05453510	2008-01-24	683.47	A
USGS	05453510	2008-01-25	683.47	A
USGS	05453510	2008-01-26	683.52	A
USGS	05453510	2008-01-27	683.51	A
USGS	05453510	2008-01-28	683.44	A
USGS	05453510	2008-01-29	683.47	A
