# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-13 09:02:43 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05453520 Iowa River below Coralville Dam nr Coralville, IA
# -----------------------------------------------------------------------------------
#
# Data provided for site 05453520
#            TS   parameter     statistic     Description
#         42878       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	42878_00060_00003	42878_00060_00003_cd
5s	15s	20d	14n	10s
USGS	05453520	2008-01-01	1550	A
USGS	05453520	2008-01-02	1390	A
USGS	05453520	2008-01-03	1120	A
USGS	05453520	2008-01-04	982	A
USGS	05453520	2008-01-05	969	A
USGS	05453520	2008-01-06	1210	A
USGS	05453520	2008-01-07	2130	A
USGS	05453520	2008-01-08	3930	A
USGS	05453520	2008-01-09	4490	A
USGS	05453520	2008-01-10	3950	A
USGS	05453520	2008-01-11	3670	A
USGS	05453520	2008-01-12	3230	A
USGS	05453520	2008-01-13	2670	A
USGS	05453520	2008-01-14	2370	A
USGS	05453520	2008-01-15	2120	A
USGS	05453520	2008-01-16	1640	A
USGS	05453520	2008-01-17	1450	A
USGS	05453520	2008-01-18	1370	A
USGS	05453520	2008-01-19	1150	A
USGS	05453520	2008-01-20	1040	A
USGS	05453520	2008-01-21	1050	A
USGS	05453520	2008-01-22	1160	A
USGS	05453520	2008-01-23	1200	A
USGS	05453520	2008-01-24	1240	A
USGS	05453520	2008-01-25	1270	A
USGS	05453520	2008-01-26	1260	A
USGS	05453520	2008-01-27	1310	A
USGS	05453520	2008-01-28	1320	A
USGS	05453520	2008-01-29	1790	A
USGS	05453520	2008-01-30	2170	A
USGS	05453520	2008-01-31	2310	A
USGS	05453520	2008-02-01	2160	A
USGS	05453520	2008-02-02	1850	A
USGS	05453520	2008-02-03	1630	A
USGS	05453520	2008-02-04	1350	A
USGS	05453520	2008-02-05	1430	A
USGS	05453520	2008-02-06	2140	A
USGS	05453520	2008-02-07	2080	A
USGS	05453520	2008-02-08	1640	A
USGS	05453520	2008-02-09	1440	A
USGS	05453520	2008-02-10	1440	A
USGS	05453520	2008-02-11	1280	A
USGS	05453520	2008-02-12	1260	A
USGS	05453520	2008-02-13	1270	A
USGS	05453520	2008-02-14	1100	A
USGS	05453520	2008-02-15	889	A
USGS	05453520	2008-02-16	885	A
USGS	05453520	2008-02-17	930	A
USGS	05453520	2008-02-18	1070	A
USGS	05453520	2008-02-19	1130	A
USGS	05453520	2008-02-20	1240	A
USGS	05453520	2008-02-21	1300	A
USGS	05453520	2008-02-22	1070	A
USGS	05453520	2008-02-23	917	A
USGS	05453520	2008-02-24	915	A
USGS	05453520	2008-02-25	899	A
USGS	05453520	2008-02-26	954	A
USGS	05453520	2008-02-27	919	A
USGS	05453520	2008-02-28	971	A
USGS	05453520	2008-02-29	1140	A
USGS	05453520	2008-03-01	1340	A
USGS	05453520	2008-03-02	1470	A
USGS	05453520	2008-03-03	1970	A
USGS	05453520	2008-03-04	2910	A
USGS	05453520	2008-03-05	4190	A
USGS	05453520	2008-03-06	5190	A
USGS	05453520	2008-03-07	5150	A
USGS	05453520	2008-03-08	4840	A
USGS	05453520	2008-03-09	4400	A
USGS	05453520	2008-03-10	3460	A:e
USGS	05453520	2008-03-11	3150	A
USGS	05453520	2008-03-12	3220	A
USGS	05453520	2008-03-13	4320	A
USGS	05453520	2008-03-14	4850	A
USGS	05453520	2008-03-15	4850	A
USGS	05453520	2008-03-16	4950	A
USGS	05453520	2008-03-17	5120	A
USGS	05453520	2008-03-18	4350	A
USGS	05453520	2008-03-19	1660	A
USGS	05453520	2008-03-20	1250	A
USGS	05453520	2008-03-21	1220	A
USGS	05453520	2008-03-22	4220	A
USGS	05453520	2008-03-23	8100	A
USGS	05453520	2008-03-24	9810	A
USGS	05453520	2008-03-25	10100	A
USGS	05453520	2008-03-26	10100	A
USGS	05453520	2008-03-27	10000	A
USGS	05453520	2008-03-28	9970	A
USGS	05453520	2008-03-29	9900	A
USGS	05453520	2008-03-30	9810	A
USGS	05453520	2008-03-31	9800	A
USGS	05453520	2008-04-01	9810	A
USGS	05453520	2008-04-02	9930	A
USGS	05453520	2008-04-03	9970	A
USGS	05453520	2008-04-04	9940	A
USGS	05453520	2008-04-05	9850	A
USGS	05453520	2008-04-06	9910	A
USGS	05453520	2008-04-07	9940	A
USGS	05453520	2008-04-08	9970	A
USGS	05453520	2008-04-09	9990	A
USGS	05453520	2008-04-10	8330	A
USGS	05453520	2008-04-11	6030	A
USGS	05453520	2008-04-12	7640	A
USGS	05453520	2008-04-13	9660	A
USGS	05453520	2008-04-14	9870	A
USGS	05453520	2008-04-15	9860	A
USGS	05453520	2008-04-16	9820	A
USGS	05453520	2008-04-17	9820	A
USGS	05453520	2008-04-18	7170	A
USGS	05453520	2008-04-19	1820	A
USGS	05453520	2008-04-20	3190	A
USGS	05453520	2008-04-21	5050	A
USGS	05453520	2008-04-22	3040	A
USGS	05453520	2008-04-23	1830	A
USGS	05453520	2008-04-24	1950	A
USGS	05453520	2008-04-25	4040	A
USGS	05453520	2008-04-26	8510	A
USGS	05453520	2008-04-27	9860	A
USGS	05453520	2008-04-28	9980	A
USGS	05453520	2008-04-29	9950	A
USGS	05453520	2008-04-30	9970	A
USGS	05453520	2008-05-01	10000	A
USGS	05453520	2008-05-02	10100	A
USGS	05453520	2008-05-03	10000	A
USGS	05453520	2008-05-04	10000	A
USGS	05453520	2008-05-05	10100	A
USGS	05453520	2008-05-06	10000	A
USGS	05453520	2008-05-07	10000	A
USGS	05453520	2008-05-08	10000	A
USGS	05453520	2008-05-09	9980	A
USGS	05453520	2008-05-10	9940	A
USGS	05453520	2008-05-11	9440	A
USGS	05453520	2008-05-12	10100	A
USGS	05453520	2008-05-13	10000	A
USGS	05453520	2008-05-14	10000	A
USGS	05453520	2008-05-15	10000	A
USGS	05453520	2008-05-16	10100	A
USGS	05453520	2008-05-17	10100	A
USGS	05453520	2008-05-18	10100	A
USGS	05453520	2008-05-19	10000	A
USGS	05453520	2008-05-20	9960	A
USGS	05453520	2008-05-21	9940	A
USGS	05453520	2008-05-22	9860	A
USGS	05453520	2008-05-23	9340	A
USGS	05453520	2008-05-24	8380	A
USGS	05453520	2008-05-25	7440	A
USGS	05453520	2008-05-26	6440	A
USGS	05453520	2008-05-27	6010	A
USGS	05453520	2008-05-28	6000	A
USGS	05453520	2008-05-29	6010	A
USGS	05453520	2008-05-30	7400	A
USGS	05453520	2008-05-31	8620	A
USGS	05453520	2008-06-01	8580	A
USGS	05453520	2008-06-02	8580	A
USGS	05453520	2008-06-03	9480	A
USGS	05453520	2008-06-04	10200	A
USGS	05453520	2008-06-05	11600	A
USGS	05453520	2008-06-06	12200	A
USGS	05453520	2008-06-07	14000	A
USGS	05453520	2008-06-08	16900	A
USGS	05453520	2008-06-09	19100	A
USGS	05453520	2008-06-10	20300	A
USGS	05453520	2008-06-11	21900	A
USGS	05453520	2008-06-12	25800	A
USGS	05453520	2008-06-13	34500	A
USGS	05453520	2008-06-14	38900	A
USGS	05453520	2008-06-15	39400	A
USGS	05453520	2008-06-16	37700	A
USGS	05453520	2008-06-17	34600	A
USGS	05453520	2008-06-18	31100	A
USGS	05453520	2008-06-19	27700	A
USGS	05453520	2008-06-20	24900	A
USGS	05453520	2008-06-21	22700	A
USGS	05453520	2008-06-22	20900	A
USGS	05453520	2008-06-23	19600	A
USGS	05453520	2008-06-24	19200	A
USGS	05453520	2008-06-25	19100	A
USGS	05453520	2008-06-26	18000	A
USGS	05453520	2008-06-27	18900	A
USGS	05453520	2008-06-28	18700	A
USGS	05453520	2008-06-29	18500	A
USGS	05453520	2008-06-30	18300	A
USGS	05453520	2008-07-01	18000	A
USGS	05453520	2008-07-02	17700	A
USGS	05453520	2008-07-03	17400	A
USGS	05453520	2008-07-04	16500	A
USGS	05453520	2008-07-05	15100	A
USGS	05453520	2008-07-06	13200	A
USGS	05453520	2008-07-07	10800	A
USGS	05453520	2008-07-08	9680	A
USGS	05453520	2008-07-09	9750	A
USGS	05453520	2008-07-10	9820	A
USGS	05453520	2008-07-11	9800	A
USGS	05453520	2008-07-12	9970	A
USGS	05453520	2008-07-13	9750	A
USGS	05453520	2008-07-14	9660	A
USGS	05453520	2008-07-15	8910	A
