#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-01-29 11:35:02 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04045500 TAHQUAMENON RIVER NEAR PARADISE, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		70273	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	04045500	00060	70273	1953	9	364.0
USGS	04045500	00060	70273	1953	10	397.5
USGS	04045500	00060	70273	1953	11	436.2
USGS	04045500	00060	70273	1953	12	799.8
USGS	04045500	00060	70273	1954	1	365.2
USGS	04045500	00060	70273	1954	2	490.9
USGS	04045500	00060	70273	1954	3	666.1
USGS	04045500	00060	70273	1954	4	2925
USGS	04045500	00060	70273	1954	5	2354
USGS	04045500	00060	70273	1954	6	711.5
USGS	04045500	00060	70273	1954	7	286.4
USGS	04045500	00060	70273	1954	8	372.9
USGS	04045500	00060	70273	1954	9	620.7
USGS	04045500	00060	70273	1954	10	1662
USGS	04045500	00060	70273	1954	11	877.8
USGS	04045500	00060	70273	1954	12	539.3
USGS	04045500	00060	70273	1955	1	360.8
USGS	04045500	00060	70273	1955	2	338.4
USGS	04045500	00060	70273	1955	3	430.8
USGS	04045500	00060	70273	1955	4	3031
USGS	04045500	00060	70273	1955	5	726.8
