     Day,      Date,    Flow,Direct Runoff,Base Flow
       1,1953-10-01,  504.00,  504.00,    0.00
       2,1953-10-02,  467.00,  432.41,   34.59
       3,1953-10-03,  441.00,  376.94,   64.06
       4,1953-10-04,  434.00,  343.73,   90.27
       5,1953-10-05,  445.00,  330.12,  114.88
       6,1953-10-06,  456.00,  317.98,  138.02
       7,1953-10-07,  486.00,  324.76,  161.24
       8,1953-10-08,  486.00,  303.69,  182.31
       9,1953-10-09,  467.00,  266.98,  200.02
      10,1953-10-10,  460.00,  244.42,  215.58
      11,1953-10-11,  437.00,  209.02,  227.98
      12,1953-10-12,  430.00,  191.27,  238.73
      13,1953-10-13,  423.00,  175.04,  247.96
      14,1953-10-14,  412.00,  156.48,  255.52
      15,1953-10-15,  393.00,  132.03,  260.97
      16,1953-10-16,  393.00,  127.08,  265.92
      17,1953-10-17,  386.00,  116.11,  269.89
      18,1953-10-18,  378.00,  105.10,  272.90
      19,1953-10-19,  356.00,   82.00,  274.00
      20,1953-10-20,  360.00,   84.70,  275.30
      21,1953-10-21,  356.00,   79.82,  276.18
      22,1953-10-22,  349.00,   72.54,  276.46
      23,1953-10-23,  338.00,   62.11,  275.89
      24,1953-10-24,  334.00,   58.91,  275.09
      25,1953-10-25,  349.00,   73.53,  275.47
      26,1953-10-26,  338.00,   63.00,  275.00
      27,1953-10-27,  334.00,   59.72,  274.28
      28,1953-10-28,  324.00,   51.12,  272.88
      29,1953-10-29,  338.00,   65.35,  272.65
      30,1953-10-30,  334.00,   61.85,  272.15
      31,1953-10-31,  316.00,   45.64,  270.36
      32,1953-11-01,  327.00,   57.45,  269.55
      33,1953-11-02,  324.00,   55.41,  268.59
      34,1953-11-03,  316.00,   48.87,  267.13
      35,1953-11-04,  316.00,   50.20,  265.80
      36,1953-11-05,  324.00,   58.81,  265.19
      37,1953-11-06,  324.00,   59.37,  264.63
      38,1953-11-07,  306.00,   43.20,  262.80
      39,1953-11-08,  313.00,   51.35,  261.65
      40,1953-11-09,  324.00,   62.58,  261.42
      41,1953-11-10,  338.00,   75.75,  262.25
      42,1953-11-11,  363.00,   98.14,  264.86
      43,1953-11-12,  412.00,  141.15,  270.85
      44,1953-11-13,  441.00,  162.56,  278.44
      45,1953-11-14,  445.00,  159.38,  285.62
      46,1953-11-15,  441.00,  149.16,  291.84
      47,1953-11-16,  441.00,  143.51,  297.49
      48,1953-11-17,  437.00,  134.69,  302.31
      49,1953-11-18,  423.00,  117.35,  305.65
      50,1953-11-19,  415.00,  106.91,  308.09
      51,1953-11-20,  412.00,  101.92,  310.08
      52,1953-11-21,  430.00,  116.77,  313.23
      53,1953-11-22,  448.00,  130.59,  317.41
      54,1953-11-23,  486.00,  161.98,  324.02
      55,1953-11-24,  524.00,  191.17,  332.83
      56,1953-11-25,  585.00,  239.65,  345.35
      57,1953-11-26,  630.00,  269.96,  360.04
      58,1953-11-27,  652.00,  277.00,  375.00
      59,1953-11-28,  652.00,  263.43,  388.57
      60,1953-11-29,  630.00,  230.74,  399.26
      61,1953-11-30,  608.00,  200.67,  407.33
      62,1953-12-01,  585.00,  172.05,  412.95
      63,1953-12-02,  564.00,  147.51,  416.49
      64,1953-12-03,  585.00,  163.74,  421.26
      65,1953-12-04,  775.00,  335.34,  439.66
      66,1953-12-05,  970.00,  499.20,  470.80
      67,1953-12-06, 1090.00,  582.05,  507.95
      68,1953-12-07, 1220.00,  668.71,  551.29
      69,1953-12-08, 1280.00,  684.94,  595.06
      70,1953-12-09, 1320.00,  682.26,  637.74
      71,1953-12-10, 1350.00,  671.31,  678.69
      72,1953-12-11, 1320.00,  606.38,  713.62
      73,1953-12-12, 1250.00,  509.86,  740.14
      74,1953-12-13, 1150.00,  393.21,  756.79
      75,1953-12-14, 1060.00,  294.76,  765.24
      76,1953-12-15,  885.00,  125.06,  759.94
      77,1953-12-16,  802.00,   53.02,  748.98
      78,1953-12-17,  725.00,    0.00,  725.00
      79,1953-12-18,  700.00,    0.00,  700.00
      80,1953-12-19,  675.00,    0.00,  675.00
      81,1953-12-20,  630.00,    0.00,  630.00
      82,1953-12-21,  610.00,    0.00,  610.00
      83,1953-12-22,  600.00,    2.04,  597.96
      84,1953-12-23,  580.00,    0.00,  580.00
      85,1953-12-24,  564.00,    0.00,  564.00
      86,1953-12-25,  543.00,    0.00,  543.00
      87,1953-12-26,  524.00,    0.00,  524.00
      88,1953-12-27,  524.00,    9.70,  514.30
      89,1953-12-28,  504.00,    0.00,  504.00
      90,1953-12-29,  490.00,    0.00,  490.00
      91,1953-12-30,  470.00,    0.00,  470.00
      92,1953-12-31,  450.00,    0.00,  450.00
      93,1954-01-01,  440.00,    0.00,  440.00
      94,1954-01-02,  430.00,    0.00,  430.00
      95,1954-01-03,  420.00,    0.00,  420.00
      96,1954-01-04,  420.00,    7.78,  412.22
      97,1954-01-05,  420.00,   14.84,  405.16
      98,1954-01-06,  410.00,   11.98,  398.02
      99,1954-01-07,  400.00,    9.20,  390.80
     100,1954-01-08,  390.00,    6.50,  383.50
     101,1954-01-09,  380.00,    3.86,  376.14
     102,1954-01-10,  370.00,    1.28,  368.72
     103,1954-01-11,  370.00,    8.01,  361.99
     104,1954-01-12,  360.00,    4.87,  355.13
     105,1954-01-13,  350.00,    1.82,  348.18
     106,1954-01-14,  350.00,    8.13,  341.87
     107,1954-01-15,  350.00,   13.86,  336.14
     108,1954-01-16,  350.00,   19.06,  330.94
     109,1954-01-17,  350.00,   23.78,  326.22
     110,1954-01-18,  340.00,   18.80,  321.20
     111,1954-01-19,  334.00,   17.80,  316.20
     112,1954-01-20,  331.00,   19.56,  311.44
     113,1954-01-21,  331.00,   23.88,  307.12
     114,1954-01-22,  331.00,   27.80,  303.20
     115,1954-01-23,  334.00,   34.13,  299.87
     116,1954-01-24,  331.00,   34.38,  296.62
     117,1954-01-25,  331.00,   37.32,  293.68
     118,1954-01-26,  338.00,   46.48,  291.52
     119,1954-01-27,  345.00,   54.92,  290.08
     120,1954-01-28,  356.00,   66.40,  289.60
     121,1954-01-29,  356.00,   66.85,  289.15
     122,1954-01-30,  352.00,   63.55,  288.45
     123,1954-01-31,  352.00,   64.18,  287.82
     124,1954-02-01,  356.00,   68.46,  287.54
     125,1954-02-02,  356.00,   68.72,  287.28
     126,1954-02-03,  360.00,   72.65,  287.35
     127,1954-02-04,  363.00,   75.37,  287.63
     128,1954-02-05,  367.00,   78.81,  288.19
     129,1954-02-06,  371.00,   82.02,  288.98
     130,1954-02-07,  378.00,   87.77,  290.23
     131,1954-02-08,  374.00,   82.94,  291.06
     132,1954-02-09,  374.00,   82.19,  291.81
     133,1954-02-10,  378.00,   85.21,  292.79
     134,1954-02-11,  382.00,   88.02,  293.98
     135,1954-02-12,  386.00,   90.65,  295.35
     136,1954-02-13,  382.00,   85.70,  296.30
     137,1954-02-14,  374.00,   77.43,  296.57
     138,1954-02-15,  374.00,   77.19,  296.81
     139,1954-02-16,  393.00,   94.56,  298.44
     140,1954-02-17,  419.00,  117.16,  301.84
     141,1954-02-18,  437.00,  130.73,  306.27
     142,1954-02-19,  456.00,  144.31,  311.69
     143,1954-02-20,  486.00,  167.17,  318.83
     144,1954-02-21,  564.00,  232.92,  331.08
     145,1954-02-22,  652.00,  303.28,  348.72
     146,1954-02-23,  725.00,  354.86,  370.14
     147,1954-02-24,  775.00,  381.73,  393.27
     148,1954-02-25,  802.00,  385.73,  416.27
     149,1954-02-26,  802.00,  364.87,  437.13
     150,1954-02-27,  830.00,  371.86,  458.14
     151,1954-02-28,  830.00,  352.80,  477.20
     152,1954-03-01,  830.00,  335.51,  494.49
     153,1954-03-02,  830.00,  319.81,  510.19
     154,1954-03-03,  802.00,  279.64,  522.36
     155,1954-03-04,  775.00,  243.60,  531.40
     156,1954-03-05,  750.00,  212.25,  537.75
     157,1954-03-06,  750.00,  206.49,  543.51
     158,1954-03-07,  725.00,  178.11,  546.89
     159,1954-03-08,  700.00,  151.89,  548.11
     160,1954-03-09,  675.00,  127.64,  547.36
     161,1954-03-10,  652.00,  107.03,  544.97
     162,1954-03-11,  630.00,   88.82,  541.18
     163,1954-03-12,  608.00,   71.89,  536.11
     164,1954-03-13,  585.00,   55.20,  529.80
     165,1954-03-14,  564.00,   41.48,  522.52
     166,1954-03-15,  543.00,   28.64,  514.36
     167,1954-03-16,  524.00,   18.45,  505.55
     168,1954-03-17,  524.00,   26.44,  497.56
     169,1954-03-18,  524.00,   33.70,  490.30
     170,1954-03-19,  543.00,   57.88,  485.12
     171,1954-03-20,  585.00,  101.46,  483.54
     172,1954-03-21,  585.00,  102.90,  482.10
     173,1954-03-22,  585.00,  104.21,  480.79
     174,1954-03-23,  585.00,  105.39,  479.61
     175,1954-03-24,  585.00,  106.47,  478.53
     176,1954-03-25,  608.00,  128.74,  479.26
     177,1954-03-26,  675.00,  190.11,  484.89
     178,1954-03-27,  725.00,  231.31,  493.69
     179,1954-03-28,  775.00,  269.61,  505.39
     180,1954-03-29,  802.00,  284.00,  518.00
     181,1954-03-30,  802.00,  272.55,  529.45
     182,1954-03-31,  802.00,  262.17,  539.83
     183,1954-04-01,  802.00,  252.75,  549.25
     184,1954-04-02,  802.00,  244.20,  557.80
     185,1954-04-03,  775.00,  211.44,  563.56
     186,1954-04-04,  725.00,  159.92,  565.08
     187,1954-04-05,  700.00,  135.39,  564.61
     188,1954-04-06,  725.00,  158.96,  566.04
     189,1954-04-07,  885.00,  305.82,  579.18
     190,1954-04-08, 1030.00,  428.15,  601.85
     191,1954-04-09, 1180.00,  546.47,  633.53
     192,1954-04-10, 1350.00,  675.13,  674.87
     193,1954-04-11, 1620.00,  887.62,  732.38
     194,1954-04-12, 1940.00, 1131.73,  808.27
     195,1954-04-13, 2420.00, 1507.31,  912.69
     196,1954-04-14, 2900.00, 1857.00, 1043.00
     197,1954-04-15, 3500.00, 2294.32, 1205.68
     198,1954-04-16, 4100.00, 2702.25, 1397.75
     199,1954-04-17, 4550.00, 2944.63, 1605.37
     200,1954-04-18, 4700.00, 2895.13, 1804.87
     201,1954-04-19, 4700.00, 2714.10, 1985.90
     202,1954-04-20, 4550.00, 2410.94, 2139.06
     203,1954-04-21, 4550.00, 2271.97, 2278.03
     204,1954-04-22, 4400.00, 2006.97, 2393.03
     205,1954-04-23, 4250.00, 1763.73, 2486.27
     206,1954-04-24, 4110.00, 1549.50, 2560.50
     207,1954-04-25, 3840.00, 1232.14, 2607.86
     208,1954-04-26, 3840.00, 1189.16, 2650.84
     209,1954-04-27, 4550.00, 1807.57, 2742.43
     210,1954-04-28, 4700.00, 1863.35, 2836.65
     211,1954-04-29, 4850.00, 1916.75, 2933.25
     212,1954-04-30, 4700.00, 1690.20, 3009.80
     213,1954-05-01, 4700.00, 1620.73, 3079.27
     214,1954-05-02, 4400.00, 1279.92, 3120.08
     215,1954-05-03, 4550.00, 1381.78, 3168.22
     216,1954-05-04, 4400.00, 1199.21, 3200.79
     217,1954-05-05, 4250.00, 1030.76, 3219.24
     218,1954-05-06, 4110.00,  884.40, 3225.60
     219,1954-05-07, 3840.00,  628.62, 3211.38
     220,1954-05-08, 3710.00,  521.16, 3188.84
     221,1954-05-09, 3580.00,  421.23, 3158.77
     222,1954-05-10, 3460.00,  337.42, 3122.58
     223,1954-05-11, 3340.00,  259.14, 3080.86
     224,1954-05-12, 3100.00,   74.77, 3025.23
     225,1954-05-13, 2880.00,    0.00, 2880.00
     226,1954-05-14, 2770.00,    0.00, 2770.00
     227,1954-05-15, 2520.00,    0.00, 2520.00
     228,1954-05-16, 2270.00,    0.00, 2270.00
     229,1954-05-17, 2040.00,    0.00, 2040.00
     230,1954-05-18, 1860.00,    0.00, 1860.00
     231,1954-05-19, 1660.00,    0.00, 1660.00
     232,1954-05-20, 1480.00,    0.00, 1480.00
     233,1954-05-21, 1320.00,    0.00, 1320.00
     234,1954-05-22, 1090.00,    0.00, 1090.00
     235,1954-05-23,  912.00,    0.00,  912.00
     236,1954-05-24,  750.00,    0.00,  750.00
     237,1954-05-25,  608.00,    0.00,  608.00
     238,1954-05-26,  543.00,    0.00,  543.00
     239,1954-05-27,  486.00,    0.00,  486.00
     240,1954-05-28,  486.00,    9.00,  477.00
     241,1954-05-29,  543.00,   69.94,  473.06
     242,1954-05-30,  630.00,  154.08,  475.92
     243,1954-05-31,  700.00,  216.29,  483.71
     244,1954-06-01,  750.00,  255.53,  494.47
     245,1954-06-02,  775.00,  268.90,  506.10
     246,1954-06-03,  802.00,  283.36,  518.64
     247,1954-06-04,  775.00,  246.97,  528.03
     248,1954-06-05,  750.00,  215.31,  534.69
     249,1954-06-06,  700.00,  162.96,  537.04
     250,1954-06-07,  630.00,   96.02,  533.98
     251,1954-06-08,  564.00,   37.69,  526.31
     252,1954-06-09,  504.00,    0.00,  504.00
     253,1954-06-10,  448.00,    0.00,  448.00
     254,1954-06-11,  426.00,    0.00,  426.00
     255,1954-06-12,  467.00,   45.85,  421.15
     256,1954-06-13,  524.00,  103.03,  420.97
     257,1954-06-14,  608.00,  180.97,  427.03
     258,1954-06-15,  858.00,  406.96,  451.04
     259,1954-06-16,  940.00,  461.09,  478.91
     260,1954-06-17,  912.00,  409.88,  502.12
     261,1954-06-18,  858.00,  338.82,  519.18
     262,1954-06-19,  802.00,  271.48,  530.52
     263,1954-06-20,  775.00,  236.20,  538.80
     264,1954-06-21,  750.00,  205.53,  544.47
     265,1954-06-22,  750.00,  200.39,  549.61
     266,1954-06-23,  750.00,  195.72,  554.28
     267,1954-06-24,  725.00,  168.34,  556.66
     268,1954-06-25,  725.00,  166.18,  558.82
     269,1954-06-26,  750.00,  187.37,  562.63
     270,1954-06-27,  775.00,  207.05,  567.95
